ts,FS_0234_PV,FS_0372_PV,FI_0395_PV,FI_0567_PV,FI_0879_PV,FC_0173_PV,FI_0497_PV,FI_0396_PV,FI_0319_PV,FC_0756_PV,FC_0696_PV,LC_0493_PV,PD_0272_PV,PI_0922_PV,PI_0326_PV,PC_0163_PV,FC_0688_OP,FC_0126_OP,FC_0419_OP,FC_0971_OP,FC_0749_OP,FC_0336_OP,FC_0619_OP,FC_0178_OP,FC_0689_OP,FC_0262_OP,HC_0493_OP,HC_0378_OP,LC_0585_OP,LC_0678_OP,LC_0365_OP,LC_0894_OP,LC_0189_OP,PC_0181_OP,TC_0389_OP,AI_0573_PV,AI_0243_PV,AI_0295_PV,AI_0286_PV,FS_0776_PV,FS_0477_PV,FS_0976_PV,TI_0585_PV,TI_0421_PV,TI_0472_PV,TI_0824_PV,TI_0682_PV,TI_0642_PV,TI_0949_PV,TI_0898_PV,TI_0697_PV,TI_0316_PV,TC_0787_PV,TC_0987_PV,TC_0787_PV,LC_0915_OP,PI_0231_PV,FS_0669_PV,PC_0197_PV,FC_0285_PV,SC_0444_A0,SC_0261_BE,SC_0318_CO,SC_0721_D5,SC_0717_DK,SC_0531_DO,SC_0439_ED,SC_0859_F6,SC_0854_F8,SC_0192_F9,SC_0574_FC,SC_0243_FF,SC_0613_FI
2021/3/1 3:21,0,0,1464.5192,3.7616143,273.76266,6.2647204,5.8406625,694.0478,724.6281,130.47414,143.8866,49.425415,0.33545253,1.2414,0.99575335,11.652964,61.250755,69.86143,50.78195,54.204178,50.805256,60.189354,82.822296,81.11271,84.2449,85.1906,50.001,106.9,12.635873,59.998856,39.874012,53.69879,67.65488,61.340263,-6.9,3.47046,-99999,-99999,-99999,0,6.0892873,0,59.82673,334.83838,343.23755,359.83463,369.21704,103.341644,103.37704,35.585724,369.3225,378.65356,101.383,362.53378,371.4217,71.04295,0.04472867,119.44944,0.06070006,0.8682536,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 3:41,0,0,1464.8986,3.76158,273.65952,6.249348,5.8277574,694.1176,724.9264,130.60934,143.91586,50.92493,0.3335467,1.2312,0.9961884,11.65154,61.25869,69.909615,50.761524,54.214005,50.794735,60.178654,82.82,81.10818,84.237785,85.19797,50.001,106.9,13.480724,59.98728,34.336006,53.731205,50.480343,61.359673,-6.9,3.6162,-99999,-99999,-99999,0,6.063421,0,59.264713,334.79404,343.22958,359.80246,369.16486,103.36515,103.392845,35.606155,369.28683,378.6615,101.92446,362.47696,371.41904,71.04295,0.0441119,119.38525,0.06078427,0.3108299,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 4:01,0,0,1465.2778,3.7252848,273.5564,6.215639,5.7748294,694.1874,725.22473,130.74457,143.94514,49.95981,0.35883126,1.2627,0.995575,11.650115,61.266624,69.9578,50.7411,54.22383,50.784214,60.16795,82.8177,81.10364,84.229805,85.20533,50.001,106.9,14.186953,59.975704,35.562687,53.768604,68.6815,61.410748,-6.9,3.5392,-99999,-99999,-99999,0,6.045987,0,60.10684,334.7497,343.22165,359.77032,369.11267,103.388664,103.40865,35.626583,369.25116,378.6694,101.012505,362.42017,371.41638,71.04295,0.04517882,119.29713,0.06086848,0.8193377,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 4:21,0,0,1465.6572,3.7866821,273.45328,6.1329513,5.688341,694.2572,725.523,130.27884,143.97443,49.45283,0.3272125,1.2319499,0.9972,11.648691,61.274555,70.00599,50.720673,54.23366,50.773693,60.15725,82.81541,81.099106,84.221825,85.2127,50.001,106.9,14.079269,59.964127,36.965134,53.447674,52.29846,61.46182,-6.9,3.3600874,-99999,-99999,-99999,0,5.939524,0,59.240128,334.70535,343.21368,359.73816,369.0605,103.41217,103.42447,35.64701,369.21548,378.67734,101.125,362.36334,371.4137,71.04295,0.044650763,119.124596,0.06095269,0.8704703,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 4:41,0,0,1466.0366,3.785356,274.01373,6.201399,5.772476,694.32697,725.82135,131.57117,144.0037,49.38347,0.2959375,1.1862,0.996775,11.647267,61.28249,70.054184,50.700245,54.24349,50.763172,60.146545,82.81311,81.094574,84.21384,85.22007,50.001,106.9,13.013595,59.95255,37.86258,53.737083,69.49568,62.007416,-6.9,3.5361376,-99999,-99999,-99999,0,6.029082,0,59.312374,334.661,343.20572,359.70602,369.0083,103.43568,103.44028,35.66744,369.1798,378.68524,102.020004,362.46286,371.41104,71.04295,0.045048267,118.952065,0.061036903,0.840082,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 5:01,0,0,1466.416,3.7260327,274.3382,6.157312,5.7537394,694.3968,725.9739,129.754,144.03297,50.200165,0.2626625,1.1489999,0.997725,11.6458435,61.29042,70.099304,50.67982,54.264423,50.75265,60.135845,82.810814,81.09179,84.20586,85.22744,50.001,106.9,11.8896055,59.94097,33.973,53.72689,51.586613,61.538395,-6.9,3.5280004,-99999,-99999,-99999,0,5.965102,0,59.3485,334.6167,343.19778,359.67386,368.95615,103.4593,103.456085,35.687866,369.14413,378.69318,100.7825,362.9271,371.4084,71.04295,0.04591479,118.779526,0.061121114,0.50758684,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 5:21,0,0,1466.7953,3.7713304,273.98752,6.2152286,5.8219647,694.46655,726.0937,131.03976,144.06226,50.651585,0.26890627,1.15485,0.995825,11.646324,61.298355,70.13966,50.659393,54.29156,50.74213,60.13105,82.80852,81.09173,84.197876,85.23481,50.001,106.9,13.780159,59.929394,26.377508,53.724037,63.787735,62.16445,-6.9,3.5828624,-99999,-99999,-99999,0,6.0342016,0,59.444824,334.57236,343.18982,359.64172,368.90396,103.523506,103.519104,35.708294,369.10846,378.70108,100.3975,362.27768,371.4057,71.04295,0.04578458,118.606995,0.061205324,0.947473,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 5:41,0,0,1467.1747,3.7324495,273.63684,6.152058,5.715618,694.5364,726.2135,131.5689,144.09152,49.788494,0.2827281,1.1754,0.9984,11.647851,61.30629,70.18002,50.638966,54.3187,50.73161,60.13543,82.80458,81.09167,84.189896,85.24218,50.001,106.9,15.243726,59.90541,35.449898,53.691624,61.71472,61.890953,-6.9,3.5454125,-99999,-99999,-99999,0,5.985834,0,59.191967,334.528,343.18658,359.60956,368.85178,103.58817,103.59455,35.728725,369.07278,378.6901,100.0725,362.43927,371.40305,71.04295,0.045182988,118.43446,0.061289534,0.79975516,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 6:01,0,0,1467.5541,3.7683017,273.28616,6.1360683,5.704917,694.6062,726.3333,132.09802,144.1208,49.254925,0.3197375,1.2219,0.99635,11.649377,61.308346,70.22039,50.63804,54.34584,50.72109,60.139812,82.7981,81.091606,84.18191,85.24955,50.001,106.9,12.473788,59.87437,33.46594,53.694725,53.136696,61.47906,-6.9,3.2319,-99999,-99999,-99999,0,5.9719687,0,59.396664,334.48367,343.18658,359.57742,368.7996,103.65283,103.67,35.749153,369.0371,378.66602,100.025,362.6678,371.4004,71.04295,0.04394778,118.26193,0.06138105,0.77150655,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 6:21,0,0,1467.9335,3.7893252,274.91293,6.1631927,5.7645903,694.6298,726.4531,130.32452,144.15009,50.83236,0.3127375,1.21575,0.99700004,11.650903,61.30969,70.26075,50.667393,54.37298,50.710567,60.144196,82.79162,81.091545,84.17393,85.25692,50.001,106.9,13.886225,59.843334,29.64,54.072487,59.94829,62.085686,-6.9,3.5709624,-99999,-99999,-99999,0,5.971102,0,59.817986,334.43933,343.18658,359.54526,368.7474,103.7175,103.74544,35.76958,369.00143,378.64197,99.9,362.721,371.39774,71.04295,0.045420557,118.19336,0.061530206,0.82008296,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
